Edad,Sexo,Total
0,Hombre,4706
0,Mujer,4548
1,Hombre,6047
1,Mujer,5854
2,Hombre,6124
2,Mujer,5929
3,Hombre,6432
3,Mujer,6116
4,Hombre,6798
4,Mujer,6245
5,Hombre,6991
5,Mujer,6651
6,Hombre,7130
6,Mujer,6691
7,Hombre,6947
7,Mujer,6785
8,Hombre,7117
8,Mujer,6714
9,Hombre,7010
9,Mujer,6631
10,Hombre,6888
10,Mujer,6540
11,Hombre,6953
11,Mujer,6631
12,Hombre,6834
12,Mujer,6537
13,Hombre,6906
13,Mujer,6539
14,Hombre,6732
14,Mujer,6378
15,Hombre,6771
15,Mujer,6124
16,Hombre,7299
16,Mujer,5810
17,Hombre,9189
17,Mujer,6396
18,Hombre,12141
18,Mujer,10635
19,Hombre,11996
19,Mujer,11174
20,Hombre,12419
20,Mujer,11479
21,Hombre,13007
21,Mujer,11969
22,Hombre,13983
22,Mujer,13746
23,Hombre,14415
23,Mujer,13926
24,Hombre,15448
24,Mujer,15285
25,Hombre,16212
25,Mujer,15865
26,Hombre,16661
26,Mujer,16109
27,Hombre,16567
27,Mujer,16158
28,Hombre,16335
28,Mujer,15846
29,Hombre,16050
29,Mujer,15388
30,Hombre,15704
30,Mujer,15365
31,Hombre,15354
31,Mujer,14989
32,Hombre,15094
32,Mujer,14775
33,Hombre,14703
33,Mujer,14502
34,Hombre,14218
34,Mujer,14097
35,Hombre,13534
35,Mujer,13769
36,Hombre,12837
36,Mujer,12967
37,Hombre,12432
37,Mujer,12713
38,Hombre,11922
38,Mujer,12399
39,Hombre,11728
39,Mujer,12052
40,Hombre,11274
40,Mujer,11759
41,Hombre,11031
41,Mujer,11058
42,Hombre,10539
42,Mujer,10570
43,Hombre,10089
43,Mujer,9826
44,Hombre,9674
44,Mujer,9618
45,Hombre,9074
45,Mujer,9093
46,Hombre,8785
46,Mujer,8594
47,Hombre,8085
47,Mujer,8203
48,Hombre,7573
48,Mujer,7830
49,Hombre,7112
49,Mujer,7553
50,Hombre,6848
50,Mujer,7452
51,Hombre,6475
51,Mujer,7162
52,Hombre,6201
52,Mujer,6769
53,Hombre,5760
53,Mujer,6386
54,Hombre,5604
54,Mujer,6261
55,Hombre,5061
55,Mujer,5806
56,Hombre,4753
56,Mujer,5459
57,Hombre,4559
57,Mujer,5390
58,Hombre,4234
58,Mujer,5172
59,Hombre,4035
59,Mujer,4948
60,Hombre,3875
60,Mujer,4685
61,Hombre,3545
61,Mujer,4428
62,Hombre,3397
62,Mujer,4343
63,Hombre,3264
63,Mujer,4013
64,Hombre,3005
64,Mujer,3889
65,Hombre,3096
65,Mujer,3714
66,Hombre,2839
66,Mujer,3562
67,Hombre,2429
67,Mujer,3271
68,Hombre,2106
68,Mujer,2907
69,Hombre,1959
69,Mujer,2577
70,Hombre,1777
70,Mujer,2451
71,Hombre,1542
71,Mujer,2140
72,Hombre,1464
72,Mujer,2160
73,Hombre,1405
73,Mujer,1869
74,Hombre,1185
74,Mujer,1565
75,Hombre,1139
75,Mujer,1502
76,Hombre,933
76,Mujer,1296
77,Hombre,800
77,Mujer,1111
78,Hombre,728
78,Mujer,1001
79,Hombre,630
79,Mujer,821
80,Hombre,563
80,Mujer,835
81,Hombre,481
81,Mujer,731
82,Hombre,442
82,Mujer,630
83,Hombre,339
83,Mujer,534
84,Hombre,287
84,Mujer,526
85,Hombre,262
85,Mujer,453
86,Hombre,209
86,Mujer,349
87,Hombre,162
87,Mujer,308
88,Hombre,119
88,Mujer,245
89,Hombre,99
89,Mujer,197
90,Hombre,323
90,Mujer,741
